공고번호,회사명,공고제목,지역,경력,기술스택/분야
53976450,(주)팀플백,(주)팀플백 각 사업부 리더 채용 공고-창원,경남 창원시 의창구,경력무관,PO(프로덕트오너) / 종합포털
53948528,(주)위밋모빌리티,[위밋모빌리티] DevOps 개발 및 인프라 담당자,서울 관악구,경력5년↑,보안관제 / 웹개발 / SI·시스템통합
53954907,비움(주),[대표작성] 웹 디자이너 팀원을 진심으로 채용하고 있습니다,경기 부천시 원미구,경력1년↑,배너디자인 / 웹디자인 / 프로모션디자인 / 상세페이지
53948646,(주)펜트미디어,뜨숨&시온 온라인 MD (경력 2년차 이상),경기 하남시,경력 2~5년,온라인MD / 전자상거래 / 쇼핑몰 / B2C / 오픈마켓
53979979,(주)스파크엑스,AI·로봇 직무교육과정 학사 운영 담당자 모집(부산센터/2명),서울 송파구,경력,직업훈련 / 훈련교사 / 교육운영
53948159,(주)케이바이오메디,[뷰티 건식브랜드] 콘텐츠 / 영상 디자이너,서울 강서구,경력무관,소프트웨어개발
53985469,(주)오브릭스,교육/콘텐츠/이러닝 PM 채용(경력),서울 금천구,경력 2~10년,교수설계 / 인터넷교육
53984675,(주)모은정보기술,(주)모은정보기술 소프트웨어 개발 경력자 모집,울산 북구,경력5년↑,C# / .NET / SI·시스템통합
53957161,(주)포밸류소프트,"Java 개발자 정규직(과장, 차장급)채용",서울 관악구,경력,소프트웨어개발
53986302,(주)투비파트너즈,[반도체 테스트 장비] Application Engineer 채용,경기 화성시 동탄구,경력 5~15년,반도체 / 서치펌
53959096,(주)케이바이오메디,[케이바이오메디] 퍼포먼스 마케터 채용,서울 강서구,경력2년↑,퍼포먼스마케팅 / 소프트웨어개발
53987065,넥젠테크(주),넥젠테크(주) 대전/세종 정보시스템 TA 컨설턴트 경력 채용 공고,세종특별자치시,경력10년↑,SI·시스템통합
53964221,(주)초이스테크코리아,[초이스테크코리아] 제품 QA Engineer 채용 (경력 5년 이상),경기 용인시 기흥구,경력5년↑,Python / 가전제품
53988067,(주)코어스택,공공 SI·SM·R&D 사업기획/제안 담당자 채용,세종특별자치시,경력3년↑,웹개발 / SI개발 / IT컨설팅
53991351,더키(The KIE),FEMS/BEMS 계측 인프라 및 신재생 모니터링 시스템 구축 담당자,서울 송파구,신입·경력,신재생에너지 / 측량/계측 / SI·시스템통합
53979802,(주)프라임,[법인차량제공] 업소용 주방 기계 - 기술 영업직 정규직 채용,인천 남동구,경력무관,솔루션기술영업 / 기술영업 / 영업관리
